Time,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,HV 450-A,PE-A
54.2,76255.88,69387.63,72023,27687.96,66970.22,27095,27.44,52.7
54.3,113808.2,72720.08,102565,62169.57,70105.91,58117,867.3,54182.402
54.3,73126.52,71034.59,67466,34045.44,67436.445,33086,8883.7,12.75
54.4,69863.2,71341.51,64178,19224.03,66878.97,18838,-23.52,25.5
54.5,99438.44,69184.12,94195,28609.59,65901.305,28451,-71.54,-18.7
54.8,85376.04,70104.8,79812,28407.78,66901.41,27828,13955.2,113.9
54.9,74018.68,70101.56,69198,28552.86,67228.586,27834,11302.34,34.850002
55,102195.84,71787.72,93296,42793.95,68705.15,40820,979.02,17834.701
55.1,111325.52,76038.62,95949,46618.11,71174.48,42925,1553.3,5660.1504
55.2,88997.72,71245.14,81866,26583.121,66764.44,26094,158.76001,-38.25
55.2,81450.4,70365.586,75860,30739.291,68095.266,29584,21343.42,19.550001
55.3,78470.64,69675.14,73809,30571.89,67357.85,29745,227.36,66.3
55.4,109079.484,78725.11,90805,44057.82,71866.32,40177,1351.42,45928.05
55.5,89583.88,70148.875,83693,32996.4,67549.18,32013,151.90001,-35.7
55.6,78627.72,70259.15,73342,32003.16,67547.8,31050,11293.5205,15.3
55.8,81640.12,71928.04,74385,22486.47,66775.72,22069,20361.46,102
55.9,74119.32,72145.49,67329,32937.81,68446.98,31537,123.48,30.6
56.2,83980,69495.72,79195,21473.7,66699.85,21099,14845.04,18.7
56.2,83304.08,71149.15,76732,34319.79,67959.32,33096,61.74,24.650002
56.3,101439,76690.4,86685,39630.09,71870.87,36137,1003.52,1407.6001
56.5,69399.44,69614.01,65334,27614.49,66755.57,27110,9727.48,-25.5
56.7,85904.4,71047.836,79240,29895.78,67972.87,28824,25.48,40.800003
56.8,92289.6,72439.836,83494,32510.94,68637.234,31042,74.48,31.45
57,71329.96,69243.234,67511,23652.69,65452.125,23683,10556.561,5.9500003
57.1,73897.64,70258.03,68931,28435.68,67503.195,27607,62.72,104.55
57.3,109377.32,72605.79,98727,52307.85,69990.15,48979,114.66,5.9500003
57.9,112206.805,75619.17,97245,45136.62,69691.92,42445,1222.06,25778.8
58.1,77521.36,70520.53,72042,32493.27,68256.91,31198,93.1,-9.35
58.1,84649.12,69063.98,80325,29281.05,66471.41,28869,12384.26,0
58.2,77464.92,72156.87,70357,31016.43,67359,30177,107.8,39.95
58.3,78460.44,70131.66,73319,31328.91,66724.24,30771,97.020004,31.45
58.4,77018.164,71359.37,70733,24328.8,66720.19,23897,53.9,5.9500003
58.7,71417,69865.875,66991,27795.84,67013.516,27183,132.3,-18.7
59.3,70148.8,71496.12,64301,23138.4,67034.98,22621,9909.76,32.3
59.4,88098.08,70248.65,82188,25096.05,67738.67,24280,14187.46,36.55
59.4,100960.28,70569.58,93759,27841.41,68991.37,26447,28.42,51
59.5,85527,69587.914,80547,24671.97,67094.17,24099,17940.86,-6.8
59.6,89998.68,71319.01,82701,30265.92,66594.164,29785,21848.121,21.25
59.6,81218.52,70565.25,75430,28984.38,67488.11,28146,33.32,0
59.7,73247.56,71775.61,66880,28573.32,67485.266,27748,19215.84,2.5500002
59.8,82865.484,70269.04,77284,31638.6,67911.27,30532,13909.141,68
59.9,83847.4,70274.234,78194,31338.21,67768.13,30306,70.56,68
60,83867.805,73530.89,74749,20490.69,68038.6,19737,-19.6,58.65
60.5,78831.72,72323.93,71433,35574.36,69006.99,33785,84.28,44.2
60.7,88291.2,70033.68,82621,26228.791,67406.38,25501,18107.46,124.950005
60.7,82802.92,71045.17,76382,34207.26,69127.57,32430,74.48,60.350002
60.8,86707.484,69702.94,81524,25952.58,66015.69,25764,17640.98,14.450001
60.8,100083.08,77603.46,84520,74725.5,72145.12,67880,763.42004,24534.4
60.9,83717.52,71105.65,77160,29251.291,68162.875,28124,18.62,-16.15
61.2,85397.12,70493.95,79391,22312.56,66676.21,21931,14579.46,-27.2
61.3,89038.52,72755.74,80203,29063.43,87859.26,21679,67.62,-22.1
61.7,115916.2,78546.305,96716,54514.742,81508.445,43832,1171.1,72.25
62.2,98006.36,88102.61,72903,42014.61,97769.04,28163,38.22,35.7
62.2,92825.44,71565.305,85005,25610.34,67079.625,25021,131.32,72.25
62.4,92659.52,70014.93,86732,24412.5,66496.164,24060,15989.681,55.25
62.4,91855.76,70393.72,85517,32522.1,69288.01,30761,119.560005,47.600002
62.8,111955.2,73848.766,99353,54933.242,70500.445,51065,980,37152.652
62.9,121097.125,71372.74,111194,46633.92,69016.77,44282,1131.9,4408.95
63.2,98954.96,70793.53,91606,35416.26,66600.86,34850,87.22,-5.9500003
63.3,110786.96,73084.78,99344,46846.89,68973.71,44512,605.64,29561.3
63.3,105353.76,73465.81,93982,42320.582,68330.17,40590,893.76,11174.95
63.3,106283.32,73282.05,95049,54452.43,68949.02,51757,1128.96,41538.652
63.4,111554,76294.87,95823,47126.82,85499.63,36123,-38.22,24.650002
63.5,80328.4,69896.59,75317,22373.01,66151.03,22165,20.58,51.850002
63.8,94596.164,71080.81,87217,31570.71,68120.305,30373,48.02,50.15
63.9,102890.805,71576.21,94208,31274.041,67411.375,30404,71.54,32.3
64.1,83885.484,71525.47,76861,36929.37,68334.51,35417,43.120003,15.3
64.8,83865.76,71108.984,77293,29753.49,67797.52,28761,18757.201,40.800003
65.2,84621.92,69358.695,79958,27966.03,66246.72,27666,-44.100002,3.4
65.2,83911.32,71365.516,77057,27775.38,67266.08,27061,17433.22,60.350002
65.6,73939.8,69648.41,69574,18077.34,65693.5,18034,11833.5,-8.5
66,76816.88,69282.46,72663,20955.69,65164.984,21075,105.840004,49.300003
66.6,73178.88,69400.484,69104,29393.58,67562.35,28512,15114.54,28.050001
66.9,92919.96,74225.42,82042,40533.12,75961.64,34970,7.84,144.5
66.9,105446.92,75688.305,91303,45183.12,70497.85,42003,2415.7,21384.3
67,83973.2,69226.984,79496,26564.52,66235.445,26284,42.14,-31.45
67.7,83505.36,70435.25,77697,30563.52,66979.13,29905,86.240005,98.600006
67.9,79870.76,70221.89,74541,24445.98,68136.43,23513,12726.28,21.25
67.9,80897.56,69332.305,76468,21576,66648.03,21216,19.6,45.050003
68.2,79003.76,69229.305,74789,20837.58,65638.625,20805,15270.36,77.35
68.5,77752.56,68915.234,73940,20169.84,65724.47,20112,12894.84,56.100002
68.6,89860.64,70258.98,83820,28546.35,67792.92,27596,171.5,-11.900001
68.8,82304.484,69570.08,77532,26346.9,66298.21,26044,13512.24,57.800003
68.8,99136.52,70668.84,91936,34981.95,67010.914,34212,18509.26,4.25
68.9,66946.68,69285.23,63324,26030.701,67322.336,25340,167.58,56.95
69.2,118928.6,71297.54,109318,55608.42,67989.13,53602,685.02,31050.5
69.2,94641.04,69901.1,88731,37616.64,67877.54,36319,52.920002,59.5
69.3,75961.44,69545.54,71582,19257.51,65520.72,19262,11741.38,11.900001
69.4,74143.12,70818.12,68613,22470.66,67760.42,21733,140.14,66.3
69.8,89063,70739.195,82512,26805.39,67680.625,25956,-27.44,80.75
70.1,90578.72,71768.25,82713,27930.69,67822.66,26989,154.84,28.050001
70.2,82200.44,71224.81,75635,26448.27,67997.086,25491,-67.62,-11.900001
70.3,80146.84,68738.35,76413,23743.83,66089.44,23545,14388.36,50.15
70.4,104214.08,69322.32,98522,36679.2,67587.24,35566,35.28,-15.3
70.7,72432.24,68186.21,69617,26432.46,66449.72,26069,12437.181,8.5
70.9,63042.8,70246.94,58815,21735.03,66789.836,21327,49,-27.2
71.4,98748.92,71484.22,90532,38734.5,67715.11,37488,15265.46,5.1000004
71.8,72284.68,71120.25,66609,20012.67,66424.43,19745,11538.5205,98.600006
71.8,98704.72,71202.91,90849,34378.38,68956.68,32673,93.1,34.850002
72,68548.08,70892.19,63369,23040.75,66575.49,22681,13967.94,38.25
72.5,87218.164,69789.87,81902,32309.13,67044.875,31582,71.54,-31.45
73.2,89959.92,69883.05,84364,25079.31,66424.09,24744,42.14,5.1000004
73.4,86325.32,70703.57,80016,22484.61,65642.88,22448,16291.5205,62.050003
73.8,73845.96,71538.34,67650,20567.88,66211.64,20358,17405.781,48.45
74.3,102862.24,76265.45,88391,29522.85,87488.555,22115,16866.781,75.65
74.5,86360.68,70017.62,80833,26565.451,66265.5,26273,19410.861,17.85
74.7,70502.4,69955.87,66048,27946.5,65224.43,28080,15263.5,28.050001
75,102937.72,77230.09,87351,50515.742,70977.414,46643,1198.54,34557.6
75.4,94381.96,71099.19,86997,31013.64,67059.625,30309,162.68001,51
75.5,85188.36,71062.766,78563,19336.56,66883.46,18947,58.800003,-19.550001
75.6,82527.52,69606.875,77701,31868.31,67842.18,30785,145.04001,3.4
76.1,102710.6,76150.445,88394,48457.65,80819.47,39294,1128.96,67.15
76.3,78934.4,72012.875,71835,22168.41,65658.65,22127,16259.181,32.3
76.3,99777.76,70016.33,93393,35295.36,66889.82,34581,54.88,103.700005
76.9,98726.484,70885.44,91276,29731.17,67179.08,29004,106.82,86.700005
77.2,131701.72,85229.625,101270,55246.652,83375.05,43426,1286.74,323.85
77.8,82033.84,73710.79,72936,32573.25,82028.92,26024,14352.101,4.25
